index,training_name,training_index
262,TRX ¢ç Single-arm Chest Press,1
263,TRX ¢ç Single-arm Chest Press,2
264,TRX ¢ç Single-arm Chest Press,3
265,TRX ¢ç Single-arm Row,1
266,TRX ¢ç Single-arm Row,2
267,TRX ¢ç Suspended Knee Tucks,1
268,TRX ¢ç Suspended Knee Tucks,2
269,TRX ¢ç Suspended Knee Tucks,3
270,TRX ¢ç Suspended Lunge,1
271,TRX ¢ç Suspended Lunge,2
272,TRX ¢ç Suspended Lunge,3
273,TRX ¢ç Suspended Pike,1
274,TRX ¢ç Suspended Pike,2
275,TRX ¢ç Suspended Pike,3
276,Upward Facing Dog,1
277,Upward Facing Dog,2
278,Upward Facing Dog,3
279,V Sit Partner Rotations,1
280,V Sit Partner Rotations,2
281,V Sit Partner Rotations,3
282,V Sit Partner Rotations,4
283,V-twist,1
